Month,Date,International Name Day,Link ,Associated category
9,2024-09-07,International Day of Clean Air for Blue Skies,https://www.un.org/en/observances/clean-air-day,13387
9,2024-09-14,World Cogeneration Day,https://worldcogenerationday.org/,13627
9,2024-09-16,International Day for the Preservation of the Ozone Layer,https://www.un.org/en/observances/ozone-day,13387
9,2024-09-20,World Cleanup Day,http://worldcleanupday.org,13388
9,2024-09-22,World Rivers Day,https://www.daysoftheyear.com/days/world-rivers-day/,13394
10,2024-10-01,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-02,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-03,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-04,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-04,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-05,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-05,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-06,International Geodivertsity Day,https://www.unesco.org/en/days/geodiversity,
10,2024-10-06,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-06,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-07,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-07,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-08,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-08,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-09,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-09,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-10,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-10,World Space Week,https://www.un.org/en/observances/world-space-week,13603; 13631; 13631
10,2024-10-11,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-12,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-13,International Day for Disaster Risk Reduction,https://www.un.org/en/observances/disaster-reduction-day,
10,2024-10-13,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-14,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-15,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-16,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-17,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-18,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-19,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-20,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-21,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-22,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-23,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-24,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-25,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-26,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-27,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-27,World Day for Audiovisual Heritage,https://www.unesco.org/en/days/audiovisual-heritage,
10,2024-10-28,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-29,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-30,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-31,Urban October,https://urbanoctober.unhabitat.org/,13367
10,2024-10-31,World Cities Day,https://www.un.org/en/observances/cities-day,13367
11,2024-11-05,World Tsunami Awareness Day,https://www.un.org/en/observances/tsunami-awareness-day,13556; 13555; 13554
11,2024-11-18,World Antimicrobial Resistance Awareness Week,https://www.who.int/campaigns/world-antimicrobial-awareness-week,13418; 13416; 13491; 13415 ;13482
11,2024-11-19,World Antimicrobial Resistance Awareness Week,https://www.who.int/campaigns/world-antimicrobial-awareness-week,13418; 13416; 13491; 13415 ;13483
